,Player,Team,Pos,PTS,GP,MIN,AST,LBR,STL,TO,STPS,HITS,PPA,PP,VIO,DFO_mk,DFO_att,DFO_pct,OFO_mk,OFO_att,OFO_pct,FG_mk,FG_att,FG_pct,2PT_mk,2PT_att,2PT_pct,3PT_mk,3PT_att,3PT_pct,4PT_mk,4PT_att,4PT_pct,RA_mk,RA_att,RA_pct,LAYUP_mk,LAYUP_att,LAYUP_pct,SLAM_mk,SLAM_att,SLAM_pct,PPFG,Prediction
0,#84 Malik Abdul-Haqq,Buzzsaw,G,0.0,16,180,0.0,0.0,16,0.0,0.0,0.0,4,12,17,5,11,0.45454545454545453,7,10,0.7,38,89,0.42696629213483145,0,2,0.0,0,3,0.0,0,6,0.0,38,78,0.48717948717948717,8,30,0.26666666666666666,30,48,0.625,0.0,6
1,#5 Jamaal Barnes Jr.,Buzzsaw,G,0.0,16,179,0.0,0.0,13,0.0,0.0,0.0,6,4,12,3,10,0.3,2,6,0.3333333333333333,68,132,0.5151515151515151,0,1,0.0,0,0,0.0,1,10,0.1,67,121,0.5537190082644629,13,34,0.38235294117647056,54,87,0.6206896551724138,0.0,7
3,#6 Ralph Bellamy,Buzzsaw,G,0.0,16,168,0.0,0.0,5,0.0,0.0,0.0,4,0,0,0,0,0.0,4,5,0.8,50,101,0.49504950495049505,0,0,0.0,0,0,0.0,0,0,0.0,50,101,0.49504950495049505,5,24,0.20833333333333334,45,77,0.5844155844155844,0.0,7
11,#0 Justin Holmes,Gryphons,G,0.0,13,221,0.0,0.0,3,0.0,0.0,0.0,12,5,11,5,10,0.5,15,16,0.9375,55,90,0.6111111111111112,0,0,0.0,0,1,0.0,0,0,0.0,55,89,0.6179775280898876,9,25,0.36,46,64,0.71875,0.0,7
12,#3 KyShawn Jones,Gryphons,G,0.0,13,207,0.0,0.0,7,0.0,0.0,0.0,2,18,22,6,13,0.46153846153846156,7,9,0.7777777777777778,94,176,0.5340909090909091,0,2,0.0,0,2,0.0,5,22,0.22727272727272727,89,150,0.5933333333333334,26,55,0.4727272727272727,63,95,0.6631578947368421,0.0,6
18,#91 Ermias Kassa,Lava,G,-4.791270535686619,5,19,-0.9470287612784238,0.04923648921246143,4,0.5897554933710448,-0.10627740817467618,-1.0086435138417522,0,0,0,0,0,0.0,0,0,0.0,2,11,0.18181818181818182,0,0,0.0,0,0,0.0,0,6,0.0,2,5,0.4,0,0,0.0,2,5,0.4,-8.131446526462563,2
21,#20 Joshua Shannon,Lava,G,0.8910191069316872,12,165,-0.6086677421282979,0.7546864161727391,8,-0.31031364180021725,0.2753643487584467,0.10077120865757995,4,9,10,3,6,0.5,4,5,0.8,50,86,0.5813953488372093,0,0,0.0,0,8,0.0,1,3,0.3333333333333333,49,75,0.6533333333333333,7,21,0.3333333333333333,42,54,0.7777777777777778,4.507855202313494,7
22,#12 Jihad Shockley,Lava,G,1.4886685206825332,12,183,-0.5893674961972455,-0.14102400368590629,5,0.024416311300555417,0.052480468077149955,-0.15716378969633507,0,6,16,5,12,0.4166666666666667,3,6,0.5,61,92,0.6630434782608695,0,3,0.0,1,1,1.0,0,1,0.0,60,87,0.6896551724137931,8,18,0.4444444444444444,52,69,0.7536231884057971,5.971399135837976,7
24,#7 Darius Clark,Mob,G,0.0,15,148,-0.0,0.0,3,0.0,-0.0,0.0,14,6,8,1,4,0.25,13,14,0.9285714285714286,106,165,0.6424242424242425,0,2,0.0,0,1,0.0,0,1,0.0,106,161,0.6583850931677019,16,45,0.35555555555555557,90,116,0.7758620689655172,0.0,8
25,#3 Cameron Hollins,Mob,G,0.0,16,174,-0.0,-0.0,3,-0.0,0.0,-0.0,4,16,18,6,10,0.6,5,6,0.8333333333333334,75,114,0.6578947368421053,1,1,1.0,0,0,0.0,0,0,0.0,74,113,0.6548672566371682,9,21,0.42857142857142855,65,92,0.7065217391304348,0.0,8
